n_filmes,n_categorias,t_restante,t_execucao,v_filmes
9000,8,24,0.247534,21
9000,9,24,0.259561,23
9000,10,24,0.188036,21
9000,11,24,0.184639,23
9000,12,24,0.236488,23
9000,13,24,0.246958,21
9000,14,24,0.256951,22
9000,15,24,0.264047,22
9000,16,24,0.288656,23
9000,17,24,0.251148,24
9000,18,24,0.298258,23
9000,19,24,0.408551,24
9000,20,24,0.244426,24
9000,21,24,0.334729,22
9000,22,24,0.305515,22
9000,23,24,0.245510,24
9000,24,24,0.225270,22
9000,25,24,0.348270,24
9000,26,24,0.198258,24
9000,27,24,0.291540,24
9000,28,24,0.195745,24
9000,29,24,0.256448,23
9000,30,24,0.178926,22
9000,31,24,0.243181,24
9000,32,24,0.231947,24
9000,33,24,0.384592,22
9000,34,24,0.229085,23
9000,35,24,0.319715,23
9000,36,24,0.237735,24
9000,37,24,0.251040,24
9000,38,24,0.266567,24
9000,39,24,0.283381,22
9000,40,24,0.265198,19
9000,41,24,0.341768,23
9000,42,24,0.226695,24
9000,43,24,0.199935,24
9000,44,24,0.281246,24
9000,45,24,0.232193,24
9000,46,24,0.373824,23
9000,47,24,0.346532,22
9000,48,24,0.166757,23
9000,49,24,0.236310,23
9000,50,24,0.268930,24
10000,1,24,0.362141,1
10000,2,24,0.416653,3
10000,3,24,0.426859,6
10000,4,24,0.287738,10
10000,5,24,0.295599,16
10000,6,24,0.268255,17
10000,7,24,0.305982,23
10000,8,24,0.358686,21
10000,9,24,0.345776,23
10000,10,24,0.271149,17
10000,11,24,0.377070,23
10000,12,24,0.269138,23
10000,13,24,0.284704,22
10000,14,24,0.386960,21
10000,15,24,0.408371,22
10000,16,24,0.314882,20
10000,17,24,0.315011,23
10000,18,24,0.388916,23
10000,19,24,0.309783,21
10000,20,24,0.567327,24
10000,21,24,0.295827,21
10000,22,24,0.287209,22
10000,23,24,0.303344,22
10000,24,24,0.317709,21
10000,25,24,0.348621,22
10000,26,24,0.441626,23
10000,27,24,0.332029,24
10000,28,24,0.255708,23
10000,29,24,0.449351,22
10000,30,24,0.369138,24
10000,31,24,0.323078,23
10000,32,24,0.325913,24
10000,33,24,0.359529,24
10000,34,24,0.290695,23
10000,35,24,0.289435,21
10000,36,24,0.314292,22
10000,37,24,0.373978,24
10000,38,24,0.341082,23
10000,39,24,0.350460,23
10000,40,24,0.309135,22
10000,41,24,0.277520,23
10000,42,24,0.333642,24
10000,43,24,0.315099,21
10000,44,24,0.368304,23
10000,45,24,0.285296,24
10000,46,24,0.417345,24
10000,47,24,0.280828,24
10000,48,24,0.359253,24
10000,49,24,0.302625,24
10000,50,24,0.422729,24
11000,1,24,0.487947,1
11000,2,24,0.401054,3
11000,3,24,0.431976,6
11000,4,24,0.400442,13
11000,5,24,0.491628,17
11000,6,24,0.299321,17
11000,7,24,0.366350,13
11000,8,24,0.425336,22
11000,9,24,0.428359,24
11000,10,24,0.631833,17
11000,11,24,0.538933,23
11000,12,24,0.374541,20
11000,13,24,0.513736,24
11000,14,24,0.488497,21
11000,15,24,0.374019,23
11000,16,24,0.266246,22
11000,17,24,0.376921,20
11000,18,24,0.300485,22
11000,19,24,0.294157,23
11000,20,24,0.316502,23
11000,21,24,0.473586,24
11000,22,24,0.217034,22
11000,23,24,0.323956,22
11000,24,24,0.370881,24
11000,25,24,0.290343,21
11000,26,24,0.382721,22
11000,27,24,0.320647,22
11000,28,24,0.299864,23
11000,29,24,0.423984,23
11000,30,24,0.391562,24
11000,31,24,0.313692,23
11000,32,24,0.326683,24
11000,33,24,0.366680,24
11000,34,24,0.295639,24
11000,35,24,0.311401,24
11000,36,24,0.316411,22
11000,37,24,0.333265,24
11000,38,24,0.447837,21
11000,39,24,0.564288,24
11000,40,24,0.414600,24
11000,41,24,0.365114,24
11000,42,24,0.432607,23
11000,43,24,0.481864,24
11000,44,24,0.434135,23
11000,45,24,0.494817,24
11000,46,24,0.473560,23
11000,47,24,0.392476,24
11000,48,24,0.425128,24
11000,49,24,0.382366,24
11000,50,24,0.471826,23
12000,1,24,0.989832,1
12000,2,24,0.447063,4
12000,3,24,0.544849,8
12000,4,24,0.499849,7
12000,5,24,0.527218,11
12000,6,24,0.589309,15
12000,7,24,0.495573,17
12000,8,24,0.473292,21
